Балкон или лоджия,В доме,Вид сделки,Высота потолков,Год постройки,Грузовой лифт,Двор,Дополнительно,Жилая площадь,Количество комнат,"Корпус, строение",Мебель,Название новостройки,Общая площадь,Окна,Отделка,Парковка,Пассажирский лифт,Площадь кухни,Ремонт,Санузел,Способ продажи,Срок сдачи,Техника,Тип дома,Тип участия,Тёплый пол,Этаж,Этажей в доме
балкон,консьерж,,3.2 м,,1,"закрытая территория, детская площадка, спортивная площадка","гардеробная, панорамные окна",17 м²,1,,"кухня, хранение одежды, спальные места",,42 м²,во двор,,подземная,1,12 м²,дизайнерский,совмещенный,свободная,,"кондиционер, стиральная машина, посудомоечная машина, водонагреватель",монолитно-кирпичный,,есть,9 из 10,10
балкон,"консьерж, мусоропровод",возможна ипотека,2.7 м,1999,1,"детская площадка, спортивная площадка",,19 м²,1,,"кухня, хранение одежды",,40 м²,на улицу,,открытая во дворе,1,8.5 м²,косметический,совмещенный,альтернативная,,,панельный,,,17 из 17,17
лоджия,,возможна ипотека,3 м,2022,,"закрытая территория, детская площадка, спортивная площадка",гардеробная,28 м²,1,,,,44 м²,во двор,,"подземная, за шлагбаумом во дворе",,12 м²,евро,совмещенный,свободная,,,монолитно-кирпичный,,,3 из 22,22
,,возможна ипотека,,2013,1,"закрытая территория, детская площадка, спортивная площадка",,30 м²,1,,"кухня, хранение одежды, спальные места",,46.5 м²,на улицу,,подземная,1,8 м²,евро,совмещенный,свободная,,"холодильник, стиральная машина, посудомоечная машина",монолитный,,есть,1 из 6,6
балкон,консьерж,,3 м,2021,4,"закрытая территория, детская площадка, спортивная площадка",панорамные окна,24 м²,1,,,,43 м²,во двор,,"подземная, за шлагбаумом во дворе",нет,16 м²,требует ремонта,совмещенный,свободная,,,монолитный,,,22 из 30,30
,консьерж,,,1980,3,закрытая территория,,,1,,,,20.3 м²,,,"открытая во дворе, за шлагбаумом во дворе",4,3 м²,дизайнерский,совмещенный,свободная,,,панельный,,,22 из 24,24
лоджия,мусоропровод,,2.5 м,1978,нет,"детская площадка, спортивная площадка",,20 м²,1,,"кухня, хранение одежды, спальные места",,35.1 м²,на солнечную сторону,,открытая во дворе,2,10 м²,дизайнерский,совмещенный,свободная,,"холодильник, стиральная машина, посудомоечная машина",панельный,,,2 из 14,
балкон,мусоропровод,возможна ипотека,2.6 м,,1,"закрытая территория, детская площадка, спортивная площадка",,,1,,"кухня, хранение одежды, спальные места",,38 м²,"на улицу, на солнечную сторону",,за шлагбаумом во дворе,1,10 м²,дизайнерский,совмещенный,свободная,,"кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",панельный,,есть,14 из 16,16
,,возможна ипотека,,,,закрытая территория,,11.7 м²,1,"Очередь 3, Корпус 2",,ЖК «Городские истории»,36.4 м²,,без отделки,подземная,,17.3 м²,,,переуступка,Сдача в 4 кв. 2025,,монолитный,ДДУ по ФЗ 214,,2 из 19,19
,,возможна ипотека,,,,,,15.7 м²,1,Корпус 1,,ЖК «Parkside»,37.5 м²,"во двор, на улицу",чистовая,,,12.9 м²,,совмещенный,,Сдача в 3 кв. 2025,,монолитный,ДДУ по ФЗ 214,,22 из 23,23
,,,,,,,,11.9 м²,1,Корпус 1,,Апарт-комплекс «Движение. Говорово»,36.6 м²,,предчистовая,,,11.3 м²,,совмещенный,,Сдача в 2 кв. 2025,,монолитно-кирпичный,ДДУ по ФЗ 214,,2 из 15,15
,консьерж,возможна ипотека,3 м,2022,1,"детская площадка, спортивная площадка","гардеробная, панорамные окна",13 м²,1,,,,42 м²,во двор,,подземная,1,12 м²,требует ремонта,совмещенный,свободная,,,монолитно-кирпичный,,,6 из 11,11
лоджия,,возможна ипотека,3.3 м,2016,,закрытая территория,,,1,,,,39.6 м²,на солнечную сторону,,"подземная, за шлагбаумом во дворе",1,9 м²,евро,совмещенный,свободная,,,кирпичный,,,2 из 23,23
,,возможна ипотека,,2024,,,,,1,,,,52.4 м²,во двор,,подземная,,10.2 м²,требует ремонта,,свободная,,,монолитный,,,15 из 24,24
,,возможна ипотека,,1969,,,,18.7 м²,1,,,,32.6 м²,на солнечную сторону,,открытая во дворе,,6.7 м²,евро,,свободная,,,панельный,,,2 из 9,9
лоджия,мусоропровод,возможна ипотека,2.7 м,1979,1,детская площадка,,20 м²,1,,"кухня, хранение одежды, спальные места",,37 м²,"во двор, на солнечную сторону",,открытая во дворе,1,8.2 м²,дизайнерский,совмещенный,свободная,,"кондиционер, холодильник, стиральная машина, посудомоечная машина",панельный,,,10 из 16,16
балкон,,возможна ипотека,,1984,,,,18 м²,1,,,,37.8 м²,на улицу,,открытая во дворе,,8 м²,требует ремонта,совмещенный,свободная,,,панельный,,,13 из 17,17
лоджия,мусоропровод,возможна ипотека,2.8 м,2024,1,"закрытая территория, детская площадка, спортивная площадка",,20.8 м²,1,,,,42.7 м²,,,"подземная, за шлагбаумом во дворе",1,10.8 м²,косметический,совмещенный,свободная,,,монолитный,,,5 из 12,
лоджия,,возможна ипотека,,2024,,,,14.2 м²,1,,,,52.4 м²,на улицу,,подземная,,23.4 м²,требует ремонта,совмещенный,свободная,,,монолитный,,,7 из 22,22
,,,3.2 м,,,"закрытая территория, детская площадка, спортивная площадка",гардеробная,19 м²,1,,"кухня, хранение одежды, спальные места",,40 м²,"на улицу, на солнечную сторону",,"открытая во дворе, за шлагбаумом во дворе",1,12 м²,евро,совмещенный,свободная,,"кондиционер, холодильник, стиральная машина",кирпичный,,,4 из 7,7
,,возможна ипотека,3.8 м,2021,2,"закрытая территория, детская площадка, спортивная площадка",,25 м²,1,,кухня,,38 м²,во двор,,открытая во дворе,2,7 м²,дизайнерский,совмещенный,свободная,,,монолитно-кирпичный,,,1 из 17,17
лоджия,мусоропровод,возможна ипотека,3 м,2017,1,"детская площадка, спортивная площадка",,22 м²,1,,,,45 м²,"во двор, на солнечную сторону",,открытая во дворе,1,12 м²,косметический,совмещенный,свободная,,,монолитный,,,13 из 19,19
,"мусоропровод, газ",возможна ипотека,,1969,,закрытая территория,,19.3 м²,1,,кухня,,33.4 м²,во двор,,за шлагбаумом во дворе,1,6.7 м²,косметический,совмещенный,свободная,,"кондиционер, холодильник, стиральная машина",панельный,,,5 из 9,9
,,возможна ипотека,3 м,2019,1,"закрытая территория, детская площадка, спортивная площадка",панорамные окна,,1,,"кухня, хранение одежды, спальные места",,55.8 м²,"во двор, на улицу, на солнечную сторону",,подземная,1,6 м²,дизайнерский,совмещенный,свободная,,"кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",монолитный,,,2 из 9,9
лоджия,мусоропровод,возможна ипотека,2.6 м,2018,1,детская площадка,гардеробная,14.6 м²,1,,"кухня, хранение одежды, спальные места",,37.3 м²,"во двор, на солнечную сторону",,открытая во дворе,1,10.7 м²,евро,совмещенный,свободная,,"холодильник, стиральная машина",монолитный,,,18 из 24,24
,,,,2018,,,,18.9 м²,1,,,,42.6 м²,,,,,13.4 м²,,совмещенный,свободная,,,монолитный,,,21 из 24,24
,"мусоропровод, газ",,,1966,нет,"детская площадка, спортивная площадка",,18.9 м²,1,,кухня,,32.7 м²,"на улицу, на солнечную сторону",,"открытая во дворе, за шлагбаумом во дворе",1,6 м²,евро,раздельный,альтернативная,,кондиционер,панельный,,,7 из 9,9
балкон,"мусоропровод, газ",,2.8 м,1962,1,"закрытая территория, детская площадка, спортивная площадка",,20 м²,1,,,,35 м²,на улицу,,за шлагбаумом во дворе,1,7 м²,требует ремонта,раздельный,свободная,,,кирпичный,,,8 из 9,9
балкон,"мусоропровод, газ",,2.7 м,1968,нет,"детская площадка, спортивная площадка",,22 м²,1,,,,34.9 м²,"во двор, на улицу, на солнечную сторону",,открытая во дворе,2,9.7 м²,требует ремонта,совмещенный,свободная,,,блочный,,,4 из 12,12
,"мусоропровод, газ",возможна ипотека,2.9 м,1958,нет,"детская площадка, спортивная площадка",,18 м²,1,,"кухня, хранение одежды, спальные места",,36 м²,во двор,,открытая во дворе,нет,6 м²,евро,совмещенный,свободная,,"кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",кирпичный,,,1 из 5,5
балкон,мусоропровод,возможна ипотека,2.7 м,2016,1,"детская площадка, спортивная площадка",,19 м²,1,,"кухня, хранение одежды, спальные места",,37.7 м²,на улицу,,за шлагбаумом во дворе,1,7.5 м²,косметический,совмещенный,свободная,,"холодильник, стиральная машина",блочный,,,3 из 17,17
балкон,мусоропровод,,,,,"детская площадка, спортивная площадка",,21 м²,1,,,,35 м²,во двор,,,2,9 м²,косметический,совмещенный,альтернативная,,,блочный,,,7 из 12,12
,мусоропровод,,2.5 м,1995,1,детская площадка,,19 м²,1,,,,38 м²,на улицу,,открытая во дворе,1,8 м²,косметический,совмещенный,свободная,,,панельный,,,2 из 17,17
,,возможна ипотека,3.2 м,,,"закрытая территория, детская площадка, спортивная площадка",,,1,Корпус 8.1,,ЖК «Мангазея на Речном»,40.1 м²,на улицу,без отделки,подземная,,,,,договор долевого участия,Сдача в 3 кв. 2027,,монолитно-кирпичный,ДДУ по ФЗ 214,,12 из 12,12
,,,3 м,,,,,14.6 м²,1,"Этап 1, Корпус 1 (ANNA)",,ЖК «JOIS»,41.4 м²,,предчистовая,подземная,1,,,,,Сдача в 4 кв. 2027,,монолитный,ДДУ по ФЗ 214,,26 из 47,47
,,,2.9 м,,1,"детская площадка, спортивная площадка",гардеробная,9.1 м²,1,Корпус 1,,ЖК «Новые Смыслы»,49.6 м²,на улицу,без отделки,"подземная, открытая во дворе",1,25.3 м²,,"совмещенный, раздельный",,Сдача в 4 кв. 2027,,монолитный,ДДУ по ФЗ 214,,13 из 30,30
,,,2.9 м,,,"закрытая территория, детская площадка, спортивная площадка",панорамные окна,14 м²,1,Корпус 5,,ЖК «Среда на Кутузовском»,47.8 м²,,предчистовая,подземная,,19.4 м²,,,,Сдача в 4 кв. 2027,,монолитный,ДДУ по ФЗ 214,,26 из 30,30
,,возможна ипотека,3 м,,1,"закрытая территория, детская площадка, спортивная площадка",,,1,Корпус 1.3 (1 секция),,ЖК «Адмирал»,44 м²,во двор,без отделки,,1,,,,договор долевого участия,Сдача в 3 кв. 2028,,монолитный,ДДУ по ФЗ 214,,10 из 13,13
балкон,"мусоропровод, газ",возможна ипотека,2.6 м,1969,нет,"детская площадка, спортивная площадка",,20 м²,1,,"кухня, хранение одежды, спальные места",,35.1 м²,на улицу,,открытая во дворе,2,10 м²,дизайнерский,совмещенный,свободная,,"кондиционер, холодильник, стиральная машина, посудомоечная машина",панельный,,,5 из 12,12
,,возможна ипотека,,,,,,,1,Копрус 2 (3 этап),,ЖК «Dream Riva»,42.8 м²,,без отделки,,,,,,,Сдача в 3 кв. 2027,,монолитный,ДДУ по ФЗ 214,,16 из 27,27
лоджия,,,2.8 м,,1,"закрытая территория, детская площадка, спортивная площадка",,24.6 м²,1,Корпус 1,,ЖК «Аквилон Бисайд 2.0»,42.2 м²,во двор,предчистовая,"подземная, открытая во дворе",2,6.1 м²,,,договор долевого участия,Сдача в 2 кв. 2027,,монолитно-кирпичный,ДДУ по ФЗ 214,,2 из 28,28
,,,,,,,,,1,,,,36.9 м²,,,,,10 м²,косметический,совмещенный,свободная,,,панельный,,,7 из 9,9
,,возможна ипотека,,,,,,15.1 м²,1,Корпус С2,,Luzhniki Collection (Коллекция Лужники),60.7 м²,,без отделки,,,,,,договор долевого участия,Сдача в 4 кв. 2026,,монолитный,ДДУ по ФЗ 214,,6 из 17,17
,,,3 м,,,,,14.6 м²,1,"Этап 1, Корпус 1 (ANNA)",,ЖК «JOIS»,47.3 м²,,предчистовая,подземная,1,,,,,Сдача в 4 кв. 2027,,монолитный,ДДУ по ФЗ 214,,19 из 54,54
,,,3 м,,,,,12.2 м²,1,"Этап 1, Корпус 1 (ANNA)",,ЖК «JOIS»,69.8 м²,,предчистовая,подземная,1,,,,,Сдача в 4 кв. 2027,,монолитный,ДДУ по ФЗ 214,,19 из 54,54
,,возможна ипотека,2.9 м,,,,,,1,Корпус 2 (2 этап),,ЖК «RAKURS»,30.9 м²,,без отделки,подземная,,,,,,Сдача в 1 кв. 2028,,монолитно-кирпичный,ДДУ по ФЗ 214,,2 из 26,26
,,,3.1 м,,,"детская площадка, спортивная площадка",,12.2 м²,1,Корпус А,,ЖК TATE (ТЭЙТ),41.6 м²,,предчистовая,,,,,,,Сдача в 2 кв. 2027,,монолитный,ДДУ по ФЗ 214,,37 из 49,49
,,,3.1 м,,,"детская площадка, спортивная площадка",,12.3 м²,1,Корпус А,,ЖК TATE (ТЭЙТ),40.3 м²,,предчистовая,,,,,,,Сдача в 2 кв. 2027,,монолитный,ДДУ по ФЗ 214,,37 из 49,49
,,возможна ипотека,3 м,,2,,,,1,Корпус 1,,Дом на набережной INSIDER,45.8 м²,,чистовая,подземная,2,,,,,Сдача в 1 кв. 2026,,монолитный,ДДУ по ФЗ 214,,4 из 16,16
