URL,Балкон или лоджия,В доме,Вид сделки,Высота потолков,Год постройки,Грузовой лифт,Двор,Жилая площадь,Количество комнат,"Корпус, строение",Название новостройки,Общая площадь,Окна,Отделка,Парковка,Пассажирский лифт,Ремонт,Санузел,Способ продажи,Срок сдачи,Тип дома,Тип участия,Этаж,Этажей в доме
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_10_m_19_et._7350998753?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFTlZLak1lcDEwTGtxOG1DIjt9HFqqhj8AAAA,,мусоропровод,,2.7 м,1971,1,"детская площадка, спортивная площадка",,студия,,,10 м²,во двор,,открытая во дворе,1,косметический,совмещенный,свободная,,панельный,,1 из 9,9
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_11_m_112_et._7354701876?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJscHpaaDN5VFdvNWx4MG9jIjt969wrXj8AAAA,,,,3300000 м,1981,1,детская площадка,,студия,,,11 м²,во двор,,открытая во дворе,1,требует ремонта,совмещенный,свободная,,панельный,,1 из 12,12
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_12_m_19_et._7322277639?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3RkdIa2lUSUZUTkRKOExrIjt9xGoUKD8AAAA,,,,2.6 м,1971,,детская площадка,,студия,,,12 м²,во двор,,открытая во дворе,1,косметический,совмещенный,свободная,,панельный,,1 из 9,9
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_22_m_19_et._4439104145?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0NDNVckg5RERCY0NCczB6Ijt9ym18zj8AAAA,,мусоропровод,,,1962,нет,"закрытая территория, детская площадка, спортивная площадка",,студия,,,22 м²,во двор,,за шлагбаумом во дворе,1,требует ремонта,совмещенный,свободная,,кирпичный,,1 из 9,9
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_134_m_55_et._7300939483?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOTGtvSUdGVnZxMUtSNmJWIjt9qBalJD8AAAA,,,,2.8 м,1927,нет,спортивная площадка,8.1 м²,студия,,,13.4 м²,во двор,,открытая во дворе,нет,косметический,совмещенный,свободная,,кирпичный,,5 из 5,5
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_174_m_14_et._4794995466?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJpSXNBUjdPRHd2d3JNeDgwIjt9tiwkoT8AAAA,,,,2.4 м,,,,15 м²,студия,,,17.4 м²,во двор,,открытая во дворе,,требует ремонта,совмещенный,свободная,,кирпичный,,1 из 4,4
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_613_m_224_et._5153941503?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJtTm1xVHM4Ym0wbWJhVWttIjt97JI4Kz8AAAA,балкон,,,,,,,17.5 м²,студия,Корпус 16.1,ЖК «Аквилон Митино»,61.3 м²,на улицу,предчистовая,,,,совмещенный,,Сдан 3 кв. 2023,монолитно-кирпичный,другое,2 из 24,24
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_183_m_214_et._7351481577?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDMzNETWJET1Iwbk9DaVFBIjt9LtSOhj8AAAA,,мусоропровод,,5399000 м,2018,1,"детская площадка, спортивная площадка",16 м²,студия,,,18.3 м²,,,открытая во дворе,1,евро,совмещенный,свободная,,панельный,,2 из 14,14
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_10_m_15_et._7350614823?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1U21VTXFlbzkwR1pJWWhyIjt9zG5wYT8AAAA,,газ,возможна ипотека,3.2 м,1898,нет,детская площадка,,студия,,,10 м²,во двор,,за шлагбаумом во дворе,нет,требует ремонта,совмещенный,свободная,,кирпичный,,1 из 5,5
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_18_m_15_et._7354964546?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIzNjJDRXhSSjdHaTBYdUVnIjt9tIJbsj8AAAA,,,возможна ипотека,3 м,1928,1,детская площадка,,студия,,,18 м²,,,"открытая во дворе, за шлагбаумом во дворе",1,евро,совмещенный,свободная,,кирпичный,,1 из 5,
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_29_m_2729_et._4945744376?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJjMWNvY05wWEdHTUs2Tk1SIjt9ICcNKD8AAAA,лоджия,,возможна ипотека,,,1,"закрытая территория, детская площадка, спортивная площадка",панорамные окна,,студия,,"кухня, хранение одежды, спальные места",,29 м²,во двор,,"подземная, за шлагбаумом во дворе",2,евро,совмещенный,свободная,,"холодильник, стиральная машина, посудомоечная машина",монолитный,,27 из 29,29
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_211_m_220_et._7351033644?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1V2Npc3RWUVJzZXk4dzllIjt9jjCY_T8AAAA,,,,2.8 м,2023,1,"детская площадка, спортивная площадка",,19 м²,студия,,,,21.1 м²,во двор,,"подземная, открытая во дворе",1,косметический,совмещенный,свободная,,,монолитный,,2 из 20,20
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_264_m_218_et._4645846357?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJtS0RETFQxMEdyVUlSamFkIjt96tOX6z8AAAA,лоджия,,,2.8 м,2021,1,"детская площадка, спортивная площадка",,,студия,,,,26.4 м²,во двор,,открытая во дворе,1,требует ремонта,раздельный,свободная,,,монолитный,,2 из 18,18
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_18_m_19_et._7318633236?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ6ZkdvVjJDZzczbzZlM3M2Ijt9i3UVuz8AAAA,лоджия,мусоропровод,,,1972,нет,"детская площадка, спортивная площадка",,,студия,,,,18 м²,во двор,,открытая во дворе,1,требует ремонта,совмещенный,свободная,,,панельный,,1 из 9,9
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_18_m_15_et._7344350208?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJSUUM4b200VU5ZNnpTck1zIjt9E8OJ6j8AAAA,,,,,,,,,,студия,,,,18 м²,,,,,косметический,совмещенный,свободная,,,кирпичный,,1 из 5,5
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_12_m_19_et._7246439012?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2MFRIZjREVUY0d0VpWVA2Ijt9oO-Wkz8AAAA,,"мусоропровод, газ",,2.7 м,1969,нет,"закрытая территория, детская площадка",,,студия,,,,12 м²,во двор,,за шлагбаумом во дворе,1,требует ремонта,совмещенный,свободная,,,панельный,,1 из 9,9
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_265_m_220_et._4598713496?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJXUW1BRE1RYUJ2d0FiSjFPIjt9iE7f4z8AAAA,лоджия,,,,2023,1,"детская площадка, спортивная площадка",,,студия,,,,26.5 м²,во двор,,"подземная, открытая во дворе",1,требует ремонта,совмещенный,свободная,,,монолитный,,2 из 20,20
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_137_m_55_et._7332490502?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxMmlnaWtEVTNnODZ1QzRvIjt92ZTcID8AAAA,,,,2.9 м,1927,нет,спортивная площадка,,8.3 м²,студия,,,,13.7 м²,во двор,,открытая во дворе,нет,косметический,совмещенный,свободная,,,кирпичный,,5 из 5,5
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_272_m_1521_et._4686630223?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmVzFOcDV1TUJvMzFCWlp2Ijt9u7FM9D8AAAA,,,,,,,,,19 м²,студия,Корпус А,,UNO.Соколиная Гора,27.2 м²,,без отделки,,,,,,Сдача в 2 кв. 2027,,монолитный,ДДУ по ФЗ 214,15 из 21,21
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_19_m_214_et._7312415282?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNcDlXRGszUFRyeVRINUVPIjt97R9qST8AAAA,,мусоропровод,,2.7 м,1989,нет,"детская площадка, спортивная площадка",,,студия,,,,19 м²,,,открытая во дворе,2,требует ремонта,совмещенный,свободная,,,панельный,,2 из 14,14
