Название,Цена,Адрес,Дата публикации,Продавец,Тип продавца,ID объявления,Количество комнат,Общая площадь,Жилая площадь,Площадь кухни,Этаж,Этажей в доме,Высота потолков,Санузел,Балкон или лоджия,Окна,Ремонт,Тёплый пол,Мебель,Техника,Отделка,Тип дома,Год постройки,Пассажирский лифт,Грузовой лифт,Двор,Парковка,Название новостройки,"Корпус, строение",Вид сделки,Способ продажи,Тип участия,Срок сдачи,Дополнительно,Геолокация,Ссылка
"3-к. квартира, 108 м², 9/18 эт.",44900000,"Москва, Шмитовский пр., 39к8",7 мая 19:01,Unistroy,Unistroy,4784379399,3,108,83.8 м²,10 м²,9,18,"3,1",раздельный,,"во двор, на улицу",требует ремонта,,,есть,"Год постройки, расположение, ремонт и",монолитно-кирпичный,", расположение, ремонт и ещё 12 параметров  
Проверка в Росреестре
1 собственник
Последняя смена собственника 24 января 2025
Не найдены ограничения и обременения 
Не совпало что-то в параметрах",2,1,"закрытая территория, детская площадка",подземная,Жк Сказочный Лес,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.52629500,55.75166500",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_108_m_918_et._4784379399
"3-к. квартира, 100 м², 3/7 эт.",135000000,"Москва, Садовническая ул., 57с2",7 мая 01:25,PEOPLE - агентство элитной недвижимости,PEOPLE - агентство элитной недвижимости,3810934008,3,100,,20 м²,3,7,,совмещенный,,"во двор, на улицу, на солнечную сторону",дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",дизайнерский ремонт,монолитно-кирпичный,2016,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Wine House,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.64123400,55.73997500",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_100_m_37_et._3810934008
"3-к. апартаменты, 68,2 м², 9/32 эт.",59000000,"Москва, Поклонная ул., 9",10 мая 10:30,PEOPLE - агентство элитной недвижимости,PEOPLE - агентство элитной недвижимости,4642533610,3,2,,10 м²,9,32,3.2 м,совмещенный,,"во двор, на улицу, на солнечную сторону",дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",под ключ в стиле,монолитно-кирпичный,2023,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Поклонная 9,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.52532400,55.73433400",https://www.avito.ru/moskva/kvartiry/3-k._apartamenty_682_m_932_et._4642533610
"2-к. квартира, 63 м², 14/16 эт.",29900000,"Москва, ул. 26 Бакинских Комиссаров, 8к6",,Михаил,Михаил,7272858664,2,63,33 м²,10 м²,14,16,2.7 м,совмещенный,лоджия,во двор,дизайнерский,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",Пoсле полного ремонта никтo нe жил.,панельный,1972,1,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Гармония Парк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.49356000,55.66121700",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_63_m_1416_et._7272858664
"5-к. квартира, 135 м², 5/14 эт.",80000000,"Москва, Минская ул., 1ГсА",28 апреля 18:33,Soul Estate,Soul Estate,4148041165,5,135,,45 м²,5,14,3.1 м,"совмещенный, раздельный",,"ориентированы во внутренний ландшафтный двор, набережную р.Раменки, Москва-Сити, Парк Победы и уникальные природные ландшафты заказника Долина реки Сетунь.
Высокие потолки 4 м.
ДЕЛИМСЯ КОМИССИЕЙ 50",требует ремонта,,есть,,"Год постройки, расположение, ремонт и",монолитный,2021,1,1,", набережную р.Раменки, Москва-Сити, Парк Победы и уникальные природные ландшафты заказника Долина реки Сетунь.
Высокие потолки 4 м.
ДЕЛИМСЯ КОМИССИЕЙ 50",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.50236300,55.71575800",https://www.avito.ru/moskva/kvartiry/5-k._kvartira_135_m_514_et._4148041165
"3-к. квартира, 138 м², 3/7 эт.",95000000,"Москва, Новослободская ул., 11",10 мая 08:48,Monumental Group,Monumental Group,7212722419,3,138,81.2 м²,15.2 м²,3,7,,"совмещенный, раздельный","балкон, лоджия",во двор,дизайнерский,,есть,,"Год постройки, расположение, ремонт и",монолитный,2002,2,2,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.59938100,55.77986400",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_138_m_37_et._7212722419
"2-к. квартира, 144 м², 14/21 эт.",150000000,"Москва, ул. Сергея Макеева, 9",28 апреля 18:33,Soul Estate,Soul Estate,4468307630,2,144,,12 м²,14,21,3.2 м,"совмещенный, раздельный",,Тип комнат,дизайнерский,,"кухня, хранение одежды, спальные места",остаются. Развитая инфраструктура,Из,монолитный,2017,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.54905800,55.76150700",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_144_m_1421_et._4468307630
"4-к. апартаменты, 136 м², 2/5 эт.",145000000,"Москва, Озерковская наб., 6",6 мая 18:13,Soul Estate,Soul Estate,4179697201,4,136,,39 м²,2,5,3.1 м,"совмещенный, раздельный",,"во двор, на солнечную сторону",дизайнерский,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель","Год постройки, расположение, ремонт и",монолитный,2021,2,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.63641900,55.74232600",https://www.avito.ru/moskva/kvartiry/4-k._apartamenty_136_m_25_et._4179697201
"Апартаменты-студия, 17,8 м², 8/21 эт.",6100000,"пр-д Автомобильный, вл. 4",14 апреля 01:20,"Агентство недвижимости &quot;Мегаполис-Сервис ЭстейтЛига&quot;, Москва","Агентство недвижимости ""Мегаполис-Сервис ЭстейтЛига"", Москва",7297706209,,8,9.3 м²,,8,21,,,,во двор,,,,,предчистовая,монолитный,,,,Отделка,,Комплекс апартаментов N'ICE LOFT,Корпус 4,возможна ипотека,договор долевого участия,ДДУ по ФЗ 214,Сдача в 2 кв. 2025,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.69635000,55.72979000",https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_178_m_821_et._7297706209
"3-к. квартира, 72,3 м², 5/33 эт.",19700000,"Кавказский б-р, корп. 1.5",,Пользователь,Пользователь,4806128202,3,3,32.7 м²,26.5 м²,5,33,2.8 м,"совмещенный, раздельный",,"во двор, на улицу, на солнечную сторону",,,есть,,чистовая,монолитно-кирпичный,,2,2,"закрытая территория, детская площадка, спортивная площадка",подземная,Кавказский бульвар 51,корп. 1.5 (2 этап),возможна ипотека,переуступка,ДДУ по ФЗ 214,Сдача в 3 кв. 2025,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.64187000,55.62809000",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_723_m_533_et._4806128202
