Название,Цена,Адрес,Дата публикации,Продавец,Тип продавца,ID объявления,Количество комнат,Общая площадь,Жилая площадь,Площадь кухни,Этаж,Этажей в доме,Высота потолков,Санузел,Балкон или лоджия,Окна,Ремонт,Тёплый пол,Мебель,Техника,Отделка,Тип дома,Год постройки,Пассажирский лифт,Грузовой лифт,Двор,Парковка,Название новостройки,"Корпус, строение",Вид сделки,Способ продажи,Тип участия,Срок сдачи,Дополнительно,Геолокация,Ссылка
"3-к. квартира, 90 м², 16/17 эт.",32000000,"Москва, Высокая ул., 12",,Пользователь,Пользователь,4907538925,3,90,60 м²,10 м²,16,17,,совмещенный,"балкон, лоджия",,евро,,,,"Год постройки, расположение, ремонт и",монолитно-кирпичный,", расположение, ремонт и ещё 12 параметров  
Проверка в Росреестре
1 собственник
Последняя смена собственника 9 марта 2005
Не найдены ограничения и обременения 
Не совпало что-то в параметрах",1,1,закрытая территория,"открытая во дворе, за шлагбаумом во дворе",Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.65732193,55.67985535",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_90_m_1617_et._4907538925
"3-к. квартира, 70 м², 7/15 эт.",32500000,"Москва, ул. Новая Дорога, 11кА",,Пользователь,Пользователь,4276723012,3,70,48 м²,22 м²,7,15,3.1 м,раздельный,,Тип комнат,требует ремонта,,,,дизайнерский ремонт,монолитный,2022,2,1,,,Жк Сказочный Лес,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.70149231,55.77236938",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_70_m_715_et._4276723012
"3-к. квартира, 91,8 м², 9/10 эт.",53990000,"Москва, Новинский б-р, 12",11 мая 07:50,Monumental Group,Monumental Group,4460613956,3,8,,7.9 м²,9,10,,раздельный,балкон,,евро,,,,дизайнерский ремонт,кирпичный,,,,,,Жк Миловидное,,Продажа Апартаментов в Москве,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.58415500,55.75319500",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_918_m_910_et._4460613956
"3-к. апартаменты, 69 м², 11/32 эт.",61500000,"Москва, Поклонная ул., 9",10 мая 09:30,PEOPLE - агентство элитной недвижимости,PEOPLE - агентство элитной недвижимости,3939283654,3,69,,10 м²,11,32,3.2 м,совмещенный,,"во двор, на улицу, на солнечную сторону",дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",под ключ с использованием высококачественных материалов,монолитно-кирпичный,2023,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Поклонная 9,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.52532400,55.73433400",https://www.avito.ru/moskva/kvartiry/3-k._apartamenty_69_m_1132_et._3939283654
"3-к. апартаменты, 68,2 м², 9/32 эт.",59000000,"Москва, Поклонная ул., 9",30 апреля 19:56,PEOPLE - агентство элитной недвижимости,PEOPLE - агентство элитной недвижимости,4642533610,3,2,,10 м²,9,32,3.2 м,совмещенный,,"во двор, на улицу, на солнечную сторону",дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",под ключ в стиле,монолитно-кирпичный,2023,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Поклонная 9,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.52532400,55.73433400",https://www.avito.ru/moskva/kvartiry/3-k._apartamenty_682_m_932_et._4642533610
"3-к. квартира, 120 м², 13/15 эт.",215000000,"Москва, ул. Усачёва, 15",10 мая 09:30,PEOPLE - агентство элитной недвижимости,PEOPLE - агентство элитной недвижимости,4387009638,3,120,,15 м²,13,15,3.4 м,совмещенный,,"во двор, на улицу, на солнечную сторону",требует ремонта,,есть,,дизайнерский ремонт,монолитно-кирпичный,2019,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Садовые кварталы,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.56961100,55.72697400",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_120_m_1315_et._4387009638
"3-к. квартира, 138 м², 3/7 эт.",95000000,"Москва, Новослободская ул., 11",11 мая 07:49,Monumental Group,Monumental Group,7212722419,3,138,81.2 м²,15.2 м²,3,7,,"совмещенный, раздельный","балкон, лоджия",во двор,дизайнерский,,есть,,"Год постройки, расположение, ремонт и",монолитный,2002,2,2,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.59938100,55.77986400",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_138_m_37_et._7212722419
"3-к. квартира, 121,1 м², 26/43 эт.",65000000,"Москва, Давыдковская ул., 3",10 мая 09:30,PEOPLE - агентство элитной недвижимости,PEOPLE - агентство элитной недвижимости,4323089754,3,1,,44.9 м²,26,43,3.2 м,совмещенный,,"во двор, на улицу, на солнечную сторону",дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",дизайнерский ремонт,монолитно-кирпичный,2004,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Эдельвейс,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.47998600,55.72746500",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_1211_m_2643_et._4323089754
"3-к. квартира, 56,5 м², 12/13 эт.",8600000,"Москва, Северный административный округ, Молжаниновский район, жилой комплекс Молжаниново, к4",30 апреля 13:05,CityOne,CityOne,7268688328,3,5,39.3 м²,4 м²,12,13,2.8 м,совмещенный,,"c низкими пoдoкoнниками.

Большую куxню-гоcтиную",,,,,чистовая,монолитно-кирпичный,,1,1,"закрытая территория, детская площадка, спортивная площадка",за шлагбаумом во дворе,ЖК «Молжаниново»,Корпус 4,прямая продажа,переуступка,ДДУ по ФЗ 214,Сдача в 4 кв. 2025,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.36684000,55.93299000",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_565_m_1213_et._7268688328
"3-к. квартира, 74,5 м², 12/17 эт.",21575200,"пос. Московский, дер. Саларьево, ул. Саларьевская, д. 9",9 мая 16:24,ПИК,ПИК,4610219459,3,5,35.9 м²,19.8 м²,12,17,2.6 м,"совмещенный, раздельный","ы. Вместе с окнами и другими акцентными элементами они создают уникальный облик здания, отсылая нас к изысканной южной архитектуре.

Все корпуса в квартале гармонично сочетаются, образуя единую городскую среду. Здесь приятно гулять и проводить время на улице всей семьёй.

В",на улицу,,,,,чистовая,монолитный,,1,1,"ах-парках жилого квартала есть места для отдыха, детские и спортивные площадки. На первых этажах домов расположены магазины, кафе и полезные сервисы. Также вблизи проекта есть несколько масштабных торговых центров. До ТЦ",подземная,Саларьево парк,Корпус 20,возможна ипотека,договор долевого участия,ДДУ по ФЗ 214,Сдача в 2 кв. 2026,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.41768000,55.61653000",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_745_m_1217_et._4610219459
